gene,found_in_v20_var,significant_v20
IFI30,True,False
SERPINA1,True,False
IGLV2-8,True,False
VMO1,True,True
IGHV4-34,True,False
IGLV3-25,True,False
MS4A1,True,False
MZB1,True,False
IGKV3-20,True,False
IL1B,True,False
AIF1,True,False
LYPD2,True,True
IGLV1-44,True,False
IGLV6-57,True,False
CST3,True,False
LST1,True,False
IGKV4-1,True,False
IGFBP4,True,False
IGHV1-69D,True,False
IGLV2-23,True,False
IGHV5-51,True,False
TCL1A,True,False
CTSL,True,True
IGHV3-74,True,False
SLC8A1,True,False
IGHV1-46,True,False
DAPK1,True,False
NBEAL1,True,False
IGLV3-1,True,False
DMXL2,True,False
IGHV1-2,True,False
HBB,True,True
IGLV2-11,True,False
IGKV3-15,True,False
IGHV4-59,True,False
IGHV3-15,True,False
IGHV3-23,True,False
OSBPL10,True,False
IGLV1-40,True,False
IGLV3-19,True,False
SLC15A3,True,False
IGHV3-30,True,False
IGHV1-18,True,False
IGLV1-47,True,False
MYC,True,False
IGHV3-21,True,False
IGHV3-7,True,False
IGKV1-39,True,False
IGHV4-39,True,False
IGKV2D-29,True,False
HNRNPA1L2,True,False
IGLV2-14,True,False
PFKFB4,True,False
IGHV3-48,True,False
PDK4,True,False
PID1,True,False
IGKV3-11,True,False
ARMH1,True,True
IGLV1-51,True,False
IGLV7-43,True,False
CXCL2,True,False
IGLV8-61,True,False
IGKV1-12,True,False
G0S2,True,False
IGLV3-10,True,False
TNFAIP6,True,False
GPBAR1,True,False
IGHV2-5,True,False
IGHV3-33,True,False
CNKSR2,True,False
IGLV10-54,True,False
IGKV1-16,True,False
TRBJ2-3,True,False
IGKV1-27,True,False
IGKV1-5,True,False
IGLV5-45,True,False
PTX3,True,False
IGLV4-69,True,False
CDH23,True,False
IGLV3-21,True,False
IGHV3-43,True,False
IGLV7-46,True,False
IGHV3-49,True,False
MAP7-AS1,True,False
CXCL3,True,False
IGHV6-1,True,False
IGHV3-11,True,False
IGHV3-66,True,False
IGKV1-17,True,False
SLC9A7,True,False
SPON1,True,True
IGHV2-70,True,False
IGHV4-4,True,False
IGHV3-53,True,False
MEG3,True,True
MIR194-2HG,True,False
LINC01841,True,False
IGKV1-9,True,False
IGHV3-72,True,False
IGHV4-31,True,False
IGHV1-3,True,False
IGLV2-18,True,False
FAM171A2,True,False
ZFHX2-AS1,True,True
CXCL8,True,False
TRDJ1,True,False
C1QA,True,False
IGKV2-30,True,False
IGHV2-26,True,False
IGHV3-73,True,False
IGKV6-21,True,False
IGKV1-8,True,False
FAM20A,True,False
IGHV7-4-1,True,False
IGLV9-49,True,False
SERPINB2,True,False
IGHV4-61,True,False
IGKV2-24,True,False
IGKV2D-28,True,False
IGKV1-6,True,False
IGHV5-10-1,True,False
IGLV3-27,True,False
