featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2M,0.5648515530044466,-1.3990951175797204,0.2085865287663953,-6.707504678533794,1.9798061477899273e-11,4.595578327016147e-11
ABALON,0.38076057259934915,-1.2554195858619202,0.20205776166951098,-6.21317179547552,5.192562442467355e-10,1.1289808444498609e-09
ABCC1,3.481007722028706,-1.0867157583947946,0.08727998317996026,-12.450916221582268,1.382489155509318e-35,1.0943532119455261e-34
ABHD17C,0.7681286629205178,-1.1616673074152746,0.1271465132560991,-9.136446432278005,6.453817517629136e-20,2.1595128742692412e-19
ABHD4,3.3109353386021945,-1.0125239534014479,0.08085813033922915,-12.522228119219962,5.642851148728669e-36,4.5772204125649094e-35
ABLIM1,20.802641169058777,-1.1822412320694433,0.06687307950510163,-17.6788812601228,6.09945065614964e-70,2.3088766676086444e-67
ACOT2,3.756532644684221,-1.3881838897297618,0.09561763444635199,-14.518073970012587,9.308923436721492e-48,2.018026970577377e-46
ACSL1,1.6354081632908586,-1.1571625842831454,0.0953320051840113,-12.13823817142598,6.623689373177121e-34,4.719378678388699e-33
ACTL10,0.5927474882791722,1.3433166758937956,0.20136531091996573,6.671043139241136,2.539915408065012e-11,5.86161812869529e-11
ADAMTS1,4.594382202794468,-1.17860905803365,0.10070786867832775,-11.703246960753978,1.226682184303827e-31,7.660536838780625e-31
ADAMTSL4-AS1,0.5056250660284676,-1.3639426487711397,0.17898112620272896,-7.62059485102482,2.5250933686366867e-14,6.567645067157048e-14
ADORA2A-AS1,1.0973599493593658,1.3659355512435358,0.15482809237447248,8.822272045694639,1.121603585694521e-18,3.533553934188692e-18
ADTRP,0.48956405478795906,1.1259330376328276,0.1709321624927889,6.587016868053297,4.487513174431995e-11,1.0229950122628096e-10
AFF1,8.27076042905689,-1.1427542533357269,0.07378453922413557,-15.487719586678963,4.199228818931726e-54,1.717263574899974e-52
AGBL2,0.6137342436867983,-1.021732504679865,0.11862971279596995,-8.612787476246636,7.130520655094618e-18,2.166897415215353e-17
AHCTF1,5.556942777468708,-1.082224745200803,0.07314644112755814,-14.79531647087983,1.5704395652159578e-49,4.0180934664268955e-48
AHCYL2,1.9530700459881871,-1.238613128443931,0.10062525628995614,-12.309167440774633,8.085291814332168e-35,6.059043809897757e-34
AHNAK,115.46020518457703,-1.1266977187524085,0.061255141392103266,-18.39352082366848,1.4804613543440154e-75,9.93456862462759e-73
AHR,2.1246389728490356,-1.0571735888777376,0.09556211863532608,-11.062684712045892,1.9031425783300369e-28,9.8686666258821e-28
AKT3-IT1,0.5671692099036479,1.0912450674357945,0.15894133053456155,6.865709905445298,6.6161401482649945e-12,1.5605380573388098e-11
ALDH7A1,1.6644523118280128,1.3345269130484816,0.1555187915486924,8.581129648442811,9.394592235474668e-18,2.8316121921664456e-17
ALDOA,37.552585443637746,-1.2507530157033893,0.07505067297012748,-16.665447040044906,2.3373450131764863e-62,2.78276003463907e-60
ALYREF,10.355643201798985,-1.5201911323968467,0.09389530649647229,-16.190278184500748,5.906096274450211e-59,4.403621176752953e-57
AMBRA1,3.5122957913150272,-1.455910360530746,0.10715041900360933,-13.587537725649995,4.7478589219082756e-42,6.230457001256166e-41
AMOT,0.7409301537773912,-1.1702913734884346,0.134040418442199,-8.73088421454823,2.5268926245948012e-18,7.850276897494329e-18
